toi,tid,coverage_status,product_count,sectors,error
1384.01,328167090,not_found,0,,
1385.01,329864959,available,8,TESS Sector 16;TESS Sector 17;TESS Sector 56;TESS Sector 57;TESS Sector 76;TESS Sector 77;TESS Sector 83;TESS Sector 84,
1386.01,343019899,available,6,TESS Sector 56;TESS Sector 57;TESS Sector 76;TESS Sector 77;TESS Sector 83;TESS Sector 84,
1387.01,343442463,available,1,TESS Sector 77,
139.01,62483237,available,4,TESS Sector 01;TESS Sector 28;TESS Sector 68;TESS Sector 95,
1390.01,365389353,not_found,0,,
1391.01,389182138,available,1,TESS Sector 77,
1392.01,416987878,not_found,0,,
1393.01,430528566,available,5,TESS Sector 56;TESS Sector 57;TESS Sector 76;TESS Sector 77;TESS Sector 83,
1394.01,431156009,available,4,TESS Sector 57;TESS Sector 76;TESS Sector 77;TESS Sector 83,
1395.01,468472950,available,5,TESS Sector 55;TESS Sector 56;TESS Sector 76;TESS Sector 82;TESS Sector 83,
1396.01,468845640,available,3,TESS Sector 76;TESS Sector 77;TESS Sector 83,
1397.01,64553698,not_found,0,,
1399.01,66783360,available,3,TESS Sector 57;TESS Sector 77;TESS Sector 83,
