toi,tid,tfopwg_disp,pl_orbper,pl_tranmid,toi_created,rowupdate,ra,dec,st_tmag,st_teff,st_rad
"1078.01",370133522,"CP",0.5182425,2458654.1033200,"2019-08-16 20:20:48","2024-09-09 10:08:01",306.9286460,-56.4622870,10.1165000,3325.0000000,0.3909890
"1079.01",379240073,"PC",3.1644075,2458656.3803570,"2019-08-16 20:20:49","2024-02-29 10:08:02",283.1194920,-55.3879280,13.1284000,6519.0000000,1.7234000
"108.01",289793076,"KP",3.0440495,2458328.0850250,"2018-09-05 18:49:20","2026-01-10 10:08:01",316.9614800,-26.0967200,13.1630000,5523.0000000,0.8098680
"1080.01",161032923,"CP",3.9652485,2458654.0605770,"2019-08-16 20:20:43","2026-03-03 12:06:51",276.3683250,-52.2145730,12.7067000,3296.0000000,0.1999880
"1081.01",253728991,"PC",2.9840866,2460858.6234320,"2019-08-16 20:20:44","2026-04-23 16:00:02",282.1404090,-40.1117700,11.5247000,6027.0000000,1.2397500
"1082.01",261108236,"PC",16.3469053,2458626.0856960,"2019-08-16 20:20:45","2024-03-11 10:08:02",83.2758090,-80.8154780,11.8835000,4310.0000000,0.6496130
"1083.01",322270620,"PC",12.9802953,2458627.9159740,"2019-08-16 20:20:47","2024-12-05 16:02:02",296.8221940,-87.3228100,12.0936000,3614.0000000,0.4913230
"1084.01",380589029,"KP",1.3484961,2458653.9733050,"2019-08-16 20:20:49","2024-09-09 10:08:01",268.8907070,-61.7474000,12.2851000,6346.0000000,1.1475900
"1085.01",381979901,"APC",3.2541181,2460041.1750970,"2019-08-16 20:20:49","2023-07-12 16:02:01",77.6053990,-59.5356640,11.6577000,6102.0000000,1.2800000
"1086.01",468148930,"PC",3.7178828,2458655.2914990,"2019-08-16 20:20:50","2024-04-25 10:08:01",305.5698200,-88.5684950,12.2303000,5818.0000000,2.0840001
"1087.01",426077080,"FP",9.3099200,2458630.7719400,"2019-08-06 19:30:24","2021-10-29 12:59:15",238.0010110,-76.4934900,9.4142000,6907.0000000,3.0900000
"1088.01",343648136,"FA",1.1539500,2458626.3895500,"2019-08-06 19:30:24","2021-10-29 12:59:15",272.3113830,-76.3009550,10.4613000,6093.0000000,1.4000000
"1089.01",129319156,"FP",4.7370300,2458643.1026400,"2019-08-06 19:30:00","2021-10-29 12:59:15",228.8430600,-52.8859890,10.3918000,11600.0000000,2.4800000
"109.01",29344935,"KP",2.7667600,2458326.1274790,"2018-09-05 18:34:19","2024-09-09 10:08:01",313.2154750,-25.6873760,13.2366000,5346.0000000,0.9848660
"1090.01",361034196,"FP",2.1929600,2458628.9631600,"2019-08-06 19:30:00","2021-10-29 12:59:15",242.0163150,-68.5888320,10.0196000,7009.8000000,2.9500000
"1091.01",193413306,"PC",1.7258410,2459359.5552100,"2019-08-06 19:29:59","2024-09-09 10:08:01",222.1011340,-56.0259310,9.3529000,7348.0000000,2.3900000
"1092.01",387079085,"FP",1.1923000,2458601.3809600,"2019-08-06 19:29:59","2021-10-29 12:59:15",217.0228820,-64.6342850,9.0039000,6534.0000000,2.0400000
"1093.01",382331352,"FP",11.4760600,2458601.3379100,"2019-08-06 19:29:59","2021-10-29 12:59:15",215.8052640,-63.0459830,10.0067000,,
"1094.01",136274063,"APC",0.5971314,2459360.1605360,"2019-08-06 19:29:59","2022-10-05 10:10:01",230.4988270,-53.8196010,9.9806000,7710.0000000,2.2800000
"1095.01",375223080,"PC",1.4821386,2459307.3859490,"2019-08-12 16:22:54","2024-12-05 16:02:02",133.9689650,-75.9261870,10.4291000,7066.0000000,2.6647301
