toi,tid,tfopwg_disp,pl_orbper,pl_tranmid,toi_created,rowupdate,ra,dec,st_tmag,st_teff,st_rad
1069.01,31858843,KP,2.9776446,2460147.378764,2019-08-16 20:20:41,2023-10-16 16:02:02,289.479212,-32.860124,10.4293,5703.0,1.22
1071.01,120247528,KP,3.5544026,2458655.394059,2019-08-16 20:20:42,2025-08-29 16:00:02,280.184169,-58.459388,11.5803,5639.0,1.11499
1076.01,360742636,KP,2.5495611,2458654.163257,2019-08-16 20:20:48,2024-09-09 10:08:01,294.633694,-55.330269,11.2474,5659.0,1.03997
1084.01,380589029,KP,1.3484961,2458653.973305,2019-08-16 20:20:49,2024-09-09 10:08:01,268.890707,-61.7474,12.2851,6346.0,1.14759
1144.01,28230919,KP,4.8878037,2460554.347022,2019-08-27 16:09:25,2024-11-14 10:08:02,297.710176,48.081864,8.5077,4757.3,0.76
1148.01,349827430,KP,5.5514888,2460361.366521,2019-08-27 16:09:25,2024-05-17 10:08:01,161.909027,71.655727,7.9179,6403.9,1.55
1150.01,16740101,KP,1.4810903,2458683.457596,2019-09-03 15:31:11,2024-05-17 10:08:01,307.8599,39.938916,7.58204,9435.0,2.28773
1151.01,69679391,KP,3.4741012,2460337.986375,2019-09-03 15:31:10,2024-04-02 10:08:02,294.661413,31.2192,7.55216,8894.8,1.62
1161.01,158324245,KP,1.7635881,2460556.484069,2019-08-27 16:09:25,2024-11-14 10:08:02,286.971388,46.868246,10.2306,7986.1,
1165.01,458478250,KP,2.2552845,2460352.823449,2019-08-27 16:09:25,2024-04-02 10:08:02,232.146641,66.35871,9.76703,5787.0,0.96
1198.01,203189770,KP,3.612771,2460551.040398,2019-09-03 15:31:11,2024-11-14 10:08:02,304.800032,32.581045,10.4219,8324.0,1.71
1236.01,120757718,KP,3.0300715,2459422.690639,2019-10-17 00:30:12,2023-03-15 16:02:02,286.040876,36.632536,11.0248,5242.82,0.857369
1237.01,120960812,KP,12.72038,2459781.665928,2019-10-17 00:30:12,2022-10-05 10:10:01,286.638391,39.487904,10.2768,6212.0,1.48
1237.02,120960812,KP,6.238755,2458685.409943,2022-06-02 21:17:12,2023-03-15 16:02:02,286.638391,39.487904,10.2768,6212.0,1.47768
1240.01,158170594,KP,1.7208555,2459421.32991,2019-10-17 00:30:12,2023-03-15 16:02:02,286.110305,43.680961,13.8046,5832.83,1.33402
1257.01,278348461,KP,5.4526479,2459820.977365,2019-10-17 00:30:12,2022-10-05 10:10:01,303.195436,18.104778,9.87463,6509.0,1.57
1265.01,424865156,KP,2.2047452,2460558.800568,2019-10-17 00:30:12,2024-11-14 10:08:02,292.24719,47.969543,10.0274,6532.23,1.99
1267.01,158561566,KP,6.7900981,2459425.412816,2019-10-17 00:30:12,2023-03-15 16:02:02,287.708814,47.33305,11.636,6378.0,2.00068
1271.01,286923464,KP,6.1349783,2459657.449461,2019-10-17 00:30:12,2022-05-20 10:10:02,203.509956,53.728188,7.4556,5828.7,2.05
1282.01,236445129,KP,0.9689927,2459445.892853,2019-10-17 00:30:12,2026-06-24 12:06:12,314.268523,31.661019,11.4373,6430.0,1.41398
1283.01,266593143,KP,10.338505,2460539.055031,2019-10-17 00:30:12,2024-11-05 10:08:02,324.535978,30.488188,9.7525,5336.96,0.84
1290.01,417676622,KP,5.3987355,2460551.373546,2019-10-17 00:30:12,2024-11-14 10:08:02,291.03231,49.040213,9.50898,5875.23,1.26
1300.01,293687315,KP,2.8716983,2460419.967332,2019-10-17 00:30:12,2024-11-15 16:02:02,216.523825,59.444274,9.823,6840.0,1.91
1337.01,160708862,KP,3.3448312,2460087.939719,2019-10-29 00:00:00,2025-08-29 16:00:02,227.270329,-42.704966,9.8787,9364.0,1.76
1373.01,176899385,KP,3.8529998,2460605.038813,2019-10-30 21:47:36,2025-05-02 16:00:02,354.774092,42.465987,9.995771,6893.4,1.57
1388.01,346338552,KP,4.4652986,2460606.436882,2019-10-30 21:47:37,2025-05-01 10:08:01,344.445363,38.674919,9.76031,6051.2,1.18
