toi,tid,split,label,disposition,stage1_score,stage2_score
3712.01,354442783,validation,0,FP,0.30675795674324036,0.24251198387132555
3714.01,155867025,validation,1,CP,0.5465338826179504,0.3631270221933424
3725.01,339250695,validation,0,FP,0.5776752829551697,0.588414470634012
3728.01,116257066,validation,0,FP,0.49316683411598206,0.37562688358295
373.01,9032368,train,0,FP,0.43900662660598755,
3733.01,321436679,validation,0,FP,0.17954708635807037,0.19128044523592108
3740.01,87597187,validation,0,FA,0.30172890424728394,0.23518846720771888
3742.01,286696848,validation,0,FP,0.5734677314758301,0.561553927111108
3746.01,284747017,validation,0,FP,0.22712577879428864,0.22273043970267922
3753.01,467783290,validation,0,FP,0.7176333069801331,0.7717671607967012
3755.01,281196902,validation,1,CP,0.554240345954895,0.5332302182091693
3757.01,445751830,validation,1,CP,0.5347822308540344,0.36904224303701827
3759.01,27244707,validation,0,FP,0.23597443103790283,0.19240926573595168
3766.01,9830791,validation,0,FP,0.5271407961845398,0.6636358118577766
3781.01,470974162,validation,0,FP,0.42459267377853394,0.2969084900187527
3785.01,458419328,validation,1,CP,0.4051169753074646,0.3057444742161929
379.01,220396259,train,0,FP,0.47126737236976624,
3790.01,29117085,validation,0,FP,0.6231445670127869,0.5276820533625525
3794.01,416539317,validation,0,FA,0.5792622566223145,0.6978668997158203
3795.01,253030300,validation,0,FP,0.30370721220970154,0.2939367361061223
3796.01,393251073,validation,0,FP,0.5885294079780579,0.46580492597588463
3799.01,373614579,validation,0,FP,0.5490438938140869,0.42071285465741337
3807.01,289661991,validation,1,CP,0.5118841528892517,0.3746043488307793
3808.01,138497780,validation,0,FP,0.35385942459106445,0.298897608633347
381.01,207084429,train,0,FP,0.3692834675312042,
3810.01,239136269,validation,0,FP,0.6348366141319275,0.7348651945457694
3819.01,95660472,validation,1,CP,0.433673232793808,0.3425295851252444
382.01,229091748,train,0,FP,0.48787921667099,
3824.01,71134735,validation,0,FA,0.31604504585266113,0.25149297344165233
3825.01,39077574,validation,0,FP,0.5099148750305176,0.4413364264765921
3827.01,8677530,validation,0,FA,0.44891422986984253,0.2943637697217887
383.01,167418898,train,0,FP,0.5031640529632568,
3837.01,308073360,validation,1,CP,0.6244282722473145,0.5116641083060943
384.01,155995204,train,0,FP,0.4967701733112335,
3843.01,841226527,validation,0,FP,0.5095729827880859,0.5492519152965151
3845.01,156816238,validation,0,FP,0.3527200520038605,0.2510146228396524
385.01,300810086,train,0,FP,0.45636650919914246,
3862.01,141205978,validation,1,CP,0.15776216983795166,0.22590402302111437
3864.01,1001477809,validation,0,FP,0.6263793110847473,0.7297831147525394
387.01,92359850,train,0,FP,0.4876250624656677,
3883.01,99330090,validation,0,FP,0.5273820161819458,0.3994475591045678
3884.01,86263325,validation,1,CP,0.5318334698677063,0.37003230024111006
3885.01,55748194,validation,0,FA,0.5395512580871582,0.41654030391957686
389.01,271900960,train,0,FP,0.5076887011528015,
3890.01,18017227,validation,0,FP,0.1598205715417862,0.17509013075648291
3894.01,165464482,validation,1,CP,0.7839478850364685,0.6591087687299
390.01,250386181,train,0,FP,0.3592885732650757,
3912.01,156648452,validation,1,CP,0.33949944376945496,0.2478518396922409
3914.01,139118482,validation,0,FP,0.5968076586723328,0.4179722708735447
3917.01,68035558,validation,0,FA,0.5781662464141846,0.5839157538830588
3919.01,23769326,validation,1,CP,0.6089252233505249,0.5402781120138462
3920.01,2016376984,validation,0,FA,0.2665615975856781,0.24875212314849893
3921.01,1101909431,validation,0,FP,0.5585682988166809,0.4913943083910351
3924.01,456042145,validation,0,FP,0.2369500696659088,0.20106263203594496
393.01,29960109,train,0,FP,0.4705207645893097,
3948.01,335489455,validation,0,FP,0.40408897399902344,0.6140021689981028
3957.01,305550963,validation,0,FP,0.3599803149700165,0.3405676063116621
396.01,178155732,train,1,CP,0.5217552185058594,
396.02,178155732,train,1,CP,0.5217552185058594,
396.03,178155732,train,1,CP,0.5217552185058594,
3963.01,271439193,validation,0,FP,0.519978404045105,0.6338918875962816
3964.01,270435047,validation,0,FA,0.4522477686405182,0.4906468099513998
397.01,219379012,train,0,FP,0.4999338388442993,
3975.01,155947004,validation,0,FP,0.3875553011894226,0.34704662597231406
3981.01,312548415,validation,0,FP,0.5808631181716919,0.7042815810941258
3983.01,20303110,validation,0,FA,0.5565587282180786,0.38509357422800167
3984.01,20182780,validation,1,CP,0.7389614582061768,0.7360156827427851
3986.01,470911286,validation,0,FP,0.29436302185058594,0.5093152464104213
3989.01,444413256,validation,0,FP,0.30727601051330566,0.2459122924042031
399.01,219388773,train,0,FP,0.5449870228767395,
3996.01,347011522,validation,0,FP,0.42288869619369507,0.41038343337994304
3999.01,284528889,validation,0,FP,0.5106756687164307,0.4725879517985774
4000.01,283015592,validation,0,FP,0.4672195315361023,0.3521267796801812
4002.01,83053699,validation,0,FP,0.6394866704940796,0.7296680140032311
4005.01,395773226,validation,0,FP,0.32778239250183105,0.23238166955046874
4006.01,390048041,validation,0,FA,0.49360013008117676,0.39642231781409887
4008.01,379629854,validation,0,FP,0.515022337436676,0.656359261501782
401.01,259701242,train,0,FP,0.5837646126747131,
4010.01,352682207,validation,1,CP,0.4085829257965088,0.31723610341712627
4010.02,352682207,validation,1,CP,0.4085829257965088,0.31723610341712627
4010.03,352682207,validation,1,CP,0.4085829257965088,0.31723610341712627
4019.01,284305328,validation,0,FP,0.31729960441589355,0.24816000751950654
402.01,120896927,train,1,CP,0.5358536839485168,
402.02,120896927,train,1,CP,0.5358536839485168,
4020.01,10974783,validation,0,FA,0.46386823058128357,0.33395646623262293
4036.01,367913453,validation,0,FP,0.42429035902023315,0.38464522224171793
4037.01,367287018,validation,0,FP,0.6137841939926147,0.7137374667269201
4044.01,307956396,validation,0,FP,0.5839441418647766,0.5167225660377557
4048.01,279605855,validation,0,FP,0.27156901359558105,0.5515213681401753
405.01,176984236,train,0,FP,0.4833352565765381,
4051.01,237101326,validation,0,FP,0.3627781271934509,0.39362469707820624
4052.01,236775063,validation,0,FP,0.34982648491859436,0.3067509275662687
4053.01,235684392,validation,0,FP,0.7028272151947021,0.778582114863502
406.01,153065527,validation,1,CP,0.6937064528465271,0.7581566914800155
406.02,153065527,validation,1,CP,0.6937064528465271,0.7581566914800155
4061.01,224601047,validation,0,FA,0.5622507929801941,0.5573795170912645
4067.01,162577466,validation,0,FP,0.2198152244091034,0.22987254423327577
4068.01,159334269,validation,0,FP,0.3626130521297455,0.27820413391729665
408.01,176778112,train,0,FP,0.4861149787902832,
4083.01,399444057,validation,0,FP,0.3459199368953705,0.23951330900899237
4087.01,310002617,validation,1,CP,0.6924477219581604,0.6561184802742996
409.01,167754523,train,0,FP,0.39518842101097107,
4091.01,289316336,validation,0,FP,0.3036840558052063,0.23652674501081716
410.01,206466531,train,0,FP,0.6004918813705444,
4102.01,237235093,validation,0,FP,0.5459636449813843,0.6925861817641821
411.01,100990000,train,1,CP,0.4729982018470764,
411.02,100990000,train,1,CP,0.4729982018470764,
4110.01,230075120,validation,0,FP,0.4655653238296509,0.5705309692999923
4112.01,229976631,validation,0,FA,0.45836296677589417,0.47508485213273977
4116.01,198616607,validation,0,FP,0.23180651664733887,0.24879568612410333
412.01,7624182,train,0,FP,0.4831220209598541,
4126.01,141616639,validation,0,FP,0.4983217716217041,0.636144062620442
4127.01,141488193,validation,1,CP,0.6654266715049744,0.7380493824235035
4130.01,71396541,validation,0,FP,0.41822728514671326,0.4031361024628881
4134.01,420803693,validation,0,FP,0.43560752272605896,0.48599149857707297
4135.01,288471040,validation,0,FP,0.4996575117111206,0.6534516567833221
4137.01,417646390,validation,1,CP,0.5709907412528992,0.48287722501089925
4138.01,257060897,validation,1,CP,0.5282314419746399,0.44319915289914674
4139.01,408729765,validation,0,FP,0.4331572949886322,0.40373424447079276
414.01,325680697,train,0,FP,0.41904765367507935,
4143.01,371711170,validation,0,FP,0.2601342499256134,0.3006578677030697
4145.01,279947414,validation,1,CP,0.7334493398666382,0.7902046936616354
4148.01,137157546,validation,0,FP,0.4424422085285187,0.39707061308035296
4153.01,470171739,validation,1,CP,0.7615130543708801,0.564550291519704
4155.01,467331291,validation,1,CP,0.6055966019630432,0.7259975741737847
4157.01,461538935,validation,0,FP,0.5387526154518127,0.44790385890334616
416.01,49899799,train,0,FP,0.5473979115486145,
4167.01,377165123,validation,0,FP,0.6853566765785217,0.7708554934787225
417.01,339733013,train,0,FP,0.5044642686843872,
4178.01,289988797,validation,0,FP,0.6042370796203613,0.4895864646822196
4181.01,426017070,validation,0,FP,0.7467120289802551,0.6609625755529686
4184.01,394357918,validation,1,CP,0.6106575131416321,0.7179728571650408
4188.01,424747720,validation,0,FP,0.6978462934494019,0.7678084109962141
419.01,279251651,train,0,FP,0.47841373085975647,
420.01,408159788,train,0,FP,0.4882485568523407,
4201.01,95057860,validation,1,CP,0.5798081755638123,0.39638522063745246
421.01,94986319,validation,1,CP,0.6549229621887207,0.5962292772181783
421.02,94986319,validation,1,CP,0.6549229621887207,0.5962292772181783
4217.01,108939482,validation,0,FP,0.1395702362060547,0.15987511518350062
4233.01,113295476,validation,0,FP,0.36325523257255554,0.3190678611979518
4235.01,157528286,validation,0,FP,0.2543800175189972,0.20804951162135732
424.01,117979694,train,0,FP,0.4700733721256256,
